Neighborhood,Boundary_Type,CodeID,Centroid_Lat,Centroid_Lon,Area_sq_km,Environment_Type,Transit_Stop_Count,Metro_Station_Count,Accessible_Stop_Count,Unique_Route_Count,Transit_Stop_Density_per_sqkm,Transit_Route_Density_per_sqkm,Nearest_Campus_by_Centroid,Distance_to_Nearest_Campus_km,Average_Rent_Bachelor_CMA,Average_Rent_1BR_CMA,Average_Rent_2BR_CMA,Average_Rent_3BR_CMA,Vacancy_Rate_CMA_pct,Rental_Data_Granularity,Cafe_Count,Grocery_Count,Library_Count,Park_Count,Gym_Count,Amenity_Data_Status,Sample_Transit_Stops,Transit_Score_0_100,Campus_Access_Score_0_100,Affordability_Score_0_100,Amenity_Score_0_100,Current_Usability_Score_0_100
Hampstead,Ville liée,2,45.480928,-73.645539,1.77,Mixed urban/suburban,16,0,13,4,9.06,2.27,Concordia Loyola Campus,2.55,1005,1131,1346,1625,2.3,"CMHC RMS Oct 2025, neighbourhood-level data suppressed (small sample); Montreal CMA average used as fallback",4,3,1,2,2,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"Macdonald / Plamondon, Macdonald / Fleet, Fleet / Macdonald",25.3,88.2,66.3,31.0,50.1
Côte-Saint-Luc,Ville liée,27,45.468811,-73.667217,6.81,Mixed urban/suburban,101,0,100,11,14.84,1.62,Concordia Loyola Campus,2.39,1050,1226,1575,2070,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",19,14,1,9,9,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"Kildare / Smart, Guelph / Smart, Clanranald / David-Lewis",31.0,89.2,50.4,22.1,44.4
Sainte-Anne-de-Bellevue,Ville liée,31,45.424819,-73.933973,11.18,Suburban,49,0,28,13,4.38,1.16,McGill Macdonald Campus,2.01,857,1120,1345,1384,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",1,2,1,2,1,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"Sainte-Marie / Morgan, Sainte-Marie / des Pins, Parc-nature de l'Anse-à-l'Orme",15.1,91.7,74.1,4.1,41.3
Baie-D'Urfé,Ville liée,26,45.414529,-73.914689,8.03,Suburban,63,0,9,8,7.85,1.0,McGill Macdonald Campus,2.25,857,1120,1345,1384,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",1,1,1,1,1,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"Transcanadienne / Pirie, Transcanadienne / Morgan, Transcanadienne / Morgan",11.0,90.1,74.1,4.8,40.4
Mercier-Hochelaga-Maisonneuve,Arrondissement,16,45.575951,-73.53399,27.41,Mixed urban/suburban,566,9,530,44,20.65,1.61,UQAM,7.05,860,1142,1272,1625,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",79,57,4,36,36,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"STATION PRÉFONTAINE, Station Préfontaine, Station Préfontaine - Accès (A) rue Hochelaga",48.9,58.7,70.3,22.2,46.9
Ahuntsic-Cartierville,Arrondissement,17,45.543265,-73.680531,25.58,Mixed urban/suburban,607,3,559,45,23.73,1.76,Université de Montréal,6.74,754,930,1197,1677,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",76,56,4,35,35,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"STATION CRÉMAZIE, Station Crémazie, Station Crémazie - Accès (A) Terminus Crémazie",42.2,60.8,77.0,23.3,48.0
Lachine,Arrondissement,9,45.444302,-73.689732,22.57,Mixed urban/suburban,276,0,243,21,12.23,0.93,Concordia Loyola Campus,4.14,919,904,1089,1625,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",26,19,1,12,12,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"Gare du Canal (Saint-Joseph / Victoria), Gare du Canal (Saint-Joseph / Victoria), 32e Avenue / Joseph-Dubreuil",25.5,77.8,77.4,8.6,43.0
LaSalle,Arrondissement,10,45.428576,-73.613925,25.21,Mixed urban/suburban,390,0,351,14,15.47,0.56,Concordia Loyola Campus,3.9,862,1086,1349,1698,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",46,33,2,21,21,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"Lafleur / Centrale, Salley / Tittley, Champlain / 6e Avenue",27.5,79.3,68.4,13.7,43.3
Verdun,Arrondissement,4,45.451906,-73.553622,22.29,Mixed urban/suburban,272,3,250,18,12.2,0.81,Concordia SGW Campus,5.42,796,1105,1217,1534,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",40,29,2,18,18,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"STATION VERDUN, Station Verdun, Station Verdun - Accès Nord rue de Verdun",30.5,69.4,75.1,13.8,43.6
Saint-Laurent,Arrondissement,7,45.498159,-73.712856,43.06,Mixed urban/suburban,801,2,678,44,18.6,1.02,Concordia Loyola Campus,7.17,903,1163,1365,2125,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",57,42,3,26,26,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"STATION CÔTE-VERTU, Station Côte-Vertu, Station Côte-Vertu - Accès rue Edouard-Laurin",33.5,57.9,57.5,10.4,36.3
Senneville,Ville liée,32,45.439368,-73.965802,18.59,Suburban,3,0,2,3,0.16,0.16,McGill Macdonald Campus,4.0,912,1009,1411,1625,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",0,0,0,0,0,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"Transcanadienne / No 22555, Transcanadienne / Cholet, École secondaire Saint-Georges",10.6,78.7,69.2,0.0,35.2
Kirkland,Ville liée,21,45.449971,-73.867349,9.62,Suburban,91,0,61,14,9.46,1.45,McGill Macdonald Campus,7.48,1005,1131,1471,1587,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",5,7,1,8,4,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"Transcanadienne / No 18101, Station Kirkland, Station Kirkland",21.4,55.9,64.6,9.7,35.0
Saint-Léonard,Arrondissement,6,45.589335,-73.595398,13.51,Mixed urban/suburban,279,0,255,17,20.65,1.26,UQAM,8.69,1005,1006,1258,1625,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",45,32,2,20,20,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"Robert / Cluny, Gare Saint-Léonard-Montréal-Nord, Gare Saint-Léonard-Montréal-Nord",33.6,48.0,70.4,24.7,42.6
Beaconsfield,Ville liée,25,45.419196,-73.856338,24.68,Suburban,90,0,58,12,3.65,0.49,McGill Macdonald Campus,6.79,1005,1131,1471,1587,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",4,6,1,7,3,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"Gare Beaurepaire, Montrose / Olympic, Montrose / Elizabeth",13.9,60.4,64.6,3.4,32.2
Montréal-Nord,Arrondissement,8,45.603721,-73.630286,12.46,Suburban,316,0,292,23,25.35,1.85,Université de Montréal,11.26,801,1050,1126,1625,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",19,26,3,30,15,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"Henri-Bourassa / Pie-IX, Pie-IX / Amos, Carrefour Henri-Bourassa / Pie-IX",39.0,31.2,76.1,26.2,42.2
Dorval,Ville liée,1,45.451502,-73.750988,29.13,Suburban,249,0,210,29,8.55,1.0,Concordia Loyola Campus,8.65,816,1069,1256,1483,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",4,6,1,7,3,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"YUL Aéroport Montréal-Trudeau / Transport Canada, Roméo-Vachon / No 700, Arthur-Fecteau / Roméo-Vachon",22.2,48.3,75.7,2.8,34.0
Anjou,Arrondissement,34,45.61249,-73.565373,13.89,Suburban,265,0,251,19,19.07,1.37,UQAM,10.83,708,764,1049,1625,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",10,14,1,16,8,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"Henri-Bourassa / 6e Avenue, des Sciences / Ray-Lawson, Henri-Bourassa / du Golf",33.1,34.0,85.0,11.3,38.6
Pierrefonds-Roxboro,Arrondissement,5,45.480494,-73.870659,33.98,Suburban,297,0,232,23,8.74,0.68,McGill Macdonald Campus,9.82,912,1009,1411,1625,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",16,22,2,26,12,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"Parc-nature du Cap-Saint-Jacques, Gouin / Pitfield, Station Pierrefonds-Roxboro",20.6,40.6,69.2,7.7,32.2
L'Île-Dorval,Ville liée,28,45.432332,-73.741627,0.18,Suburban,0,0,0,0,0.0,0.0,Concordia Loyola Campus,8.4,816,1069,1256,1483,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",0,0,0,1,0,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,,0.0,49.9,75.7,15.0,34.1
Pointe-Claire,Ville liée,33,45.441387,-73.806436,34.3,Suburban,321,0,292,34,9.36,0.99,McGill Macdonald Campus,11.21,834,1507,1865,1860,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",7,10,1,12,6,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"Fairview / Brunswick, Transcanadienne / Tecumseh, Saint-Jean / Gendron",23.8,31.5,47.6,3.6,24.2
L'Île-Bizard-Sainte-Geneviève,Arrondissement,24,45.493681,-73.90422,36.32,Suburban,85,0,67,10,2.34,0.28,McGill Macdonald Campus,10.01,1005,1131,1346,1625,2.3,"CMHC RMS Oct 2025, neighbourhood-level data suppressed (small sample); Montreal CMA average used as fallback",4,6,1,7,3,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"Bellevue / Laurier, Bellevue / des Grives, Bellevue / No 1030",14.5,39.4,66.3,2.3,28.1
Dollard-des-Ormeaux,Ville liée,3,45.486991,-73.81722,15.09,Suburban,193,0,168,18,12.79,1.19,McGill Macdonald Campus,13.13,941,1195,1536,1625,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",11,15,1,17,8,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"Saint-Régis / Sunnybrooke, Saint-Régis / No 1611, Tecumseh / Labrosse",26.5,19.0,62.6,11.0,28.6
Montréal-Est,Ville liée,29,45.628466,-73.524863,13.99,Suburban,105,0,84,14,7.51,1.0,UQAM,12.89,1005,1131,1346,1625,2.3,"CMHC RMS Oct 2025, neighbourhood-level data suppressed (small sample); Montreal CMA average used as fallback",1,1,1,1,1,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"Notre-Dame / Gamble, Place Marien / No 8400, Sherbrooke / Durocher",20.7,20.5,66.3,2.8,25.8
Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,11,45.65842,-73.536344,51.27,Suburban,551,0,470,27,10.75,0.53,UQAM,16.03,763,975,1184,1359,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",25,34,3,40,19,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"Gare Rivière-des-Prairies, Henri-Bourassa / 6e Avenue, Gare Rivière-des-Prairies",22.9,0.0,82.4,7.8,27.9
